我不知道为什么那么多人支持房产税，可能这些人会觉得，反正不会收到我头上，因为我没有房。而且也没有钱买房。其实没有房的是最受伤。人不能没有房子住，哪怕你是租房，当然乞丐和野人除外。1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　当然有一类人不受伤，这就是XX，我想你们懂得XX是一群什么人。说实话我也是这个XX里的人，税多我工资也会涨，我不担心这个房产税。就拿个人所得税来说，我交的很少，但是你们逃不掉啊。不过我不愿意看到我父母和兄弟姐妹，以后的孩子要交这个税。我刚买了房，买一套房子交的税已经很多很多了。空军你们不要怨恨买房的人，大家都是被逼的，要怨就应该怨保障房没有建设到位，老百姓工资涨得实在太慢。　　　　本人认为房价必然也还会涨，但这个涨幅应该比老百姓的工资低一些，这是政府应该压制的。楼主发言：1次发图：0张|更多举报|分享|楼主|点赞
　　房产税不可取，首先二套房的认定就很麻烦！简单的方法就是，收取二手房的交易税！手里有那么多的房子是要交易赚钱的！百分之五十的交易税，收死你！看谁还敢囤积房子？无房的、只有一套房子的不会卖房，这样是最好的办法！举报|1426楼|打赏|回复|评论|赞
　　作者：海岛论剑发表日期：2010-12-921:13:00　　　　作者：落点评　回复日期：2010-12-09　21:09:15　　　　　海岛论剑你个sb我问你呢，ZF卖地得了那么多钱不按规定去建保障房廉租房，原因在哪里？难道他们收了房产税就去建保障房了吗，你倒是回答啊，别装瞎子！！！　　　　————————————————————————————————　　　　以前是因为不明确，卖地收入主要投入到城建中去了。而现在是要求全国推广重庆模式，重庆模式的最大特点就是规模超大，直接覆盖1/3人群。中央决定明年建1000万套保障房，其中大部分是公租房。　　　　　　＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝　　你别在这胡说八道混淆视听了，你要是不知道虚心请教我可以告诉你，别胡说。ZF应按土地出让金一定比例建保障房廉租房，这项规定早就有。之所以不执行，那是因为各地都有GDP指标，而廉租房是不可以对外卖的，不产生GDP，还得ZF提供土地。而同样的土地如果建商品房，甚至经济适用房，在GDP收入上也比廉租房强得多得多！这就是各地ZF不按指标甚至根本不建廉租的根本原因所在！！　　　　而现在，这个根本原因解决了吗？没有！！！光中央出政策有什么用，能下决心不按指标建保障房的直接撤职吗？否则不全是空谈！！！举报|1427楼|打赏|回复|评论|赞
　　海岛、、、、　　　　　　你就是一SB，话都说不清楚举报|1428楼|打赏|回复|评论|赞
　　00举报|1430楼|打赏|回复|评论|赞
　　沉重的房子来自天涯社区客户端|举报|1431楼|打赏|回复|评论|赞
"　　什么时候都少不了求压迫的白痴　　什么免税面积，你说多大就多大？很明显房价不是一个税收能解决的,还shabi一样叫着要收税，收收收，收你妹。人穷没关系，穷也要穷得有骨气，没骨气你也长点脑子，又穷又没骨气又没脑子，活该买不起房。　　家里只有一套房的万年潜水党看见这些求收税的脑残实在忍不住出来骂人　　　　★发自天涯专用iPhone软件-百读不倦举报|1432楼|打赏|回复|评论|赞"
　　到底谁是赢家？楼主貌似没交待清楚。因为xx里的人收入也有高低之分，不是吗？来自天涯社区客户端|举报|1433楼|打赏|回复|评论|赞
　　XX和XX举报|1434楼|打赏|回复|评论|赞
　　如果让国外媒体报道中国有人为了增收房产税而欢呼，，不知道这群人做何感想。。。。　　有些人好像回到了比满清还愚昧的年代。。。。。。　　　　你欢呼加税，你自己将来就不改善居住环境了吗？你自己的儿女也不改善了吗？　　你以为将来住个人均30平就满足了吗？　　　　你们就是社会的寄生虫！！！！富人多缴税是肯定的。但是你和你的子女肯定都成不了富人了，因为你从来没想过要缴税！！！！　　妄想房产税降房价，你下辈子也等不到的。　　美国无业游民的低保，生活水平都比你的生活水平高，知道为什么是富人纳税，国家提高了福利！！！　　　　而我们交的税都到哪里去了？？？也许你也会有一天住着人均30平领着低保，　　我们还是交着你欢呼过的房产税，不过你的智商决定了你的生活水平！！！！举报|1435楼|打赏|回复|评论|赞
　　我顶你来自天涯社区客户端|举报|1436楼|打赏|回复|评论|赞
　　　　作者：星夜天狼　回复日期：2010-12-09　21:32:44　　　　　　　如果让国外媒体报道中国有人为了增收房产税而欢呼，，不知道这群人做何感想。。。。　　　　有些人好像回到了比满清还愚昧的年代。。。。。。　　　　　　　　你欢呼加税，你自己将来就不改善居住环境了吗？你自己的儿女也不改善了吗？　　　　你以为将来住个人均30平就满足了吗？　　　　　　　　你们就是社会的寄生虫！！！！富人多缴税是肯定的。但是你和你的子女肯定都成不了富人了，因为你从来没想过要缴税！！！！　　　　妄想房产税降房价，你下辈子也等不到的。　　　　美国无业游民的低保，生活水平都比你的生活水平高，知道为什么是富人纳税，国家提高了福利！！！　　　　　　　　而我们交的税都到哪里去了？？？也许你也会有一天住着人均30平领着低保，　　　　我们还是交着你欢呼过的房产税，不过你的智商决定了你的生活水平！！！！　　　　============================================　　　　　　写得好举报|1438楼|打赏|回复|评论|赞
　　作者：落点评　回复日期：2010-12-09　21:25:09　　　你别在这胡说八道混淆视听了，你要是不知道虚心请教我可以告诉你，别胡说。ZF应按土地出让金一定比例建保障房廉租房，这项规定早就有。　　______________________________________________　　去年不执行不代表明年不执行，这次建1000万套保障房是硬指标，必须完成的。举报|1439楼|打赏|回复|评论|赞
　　世界各国及地区物业税一览　　　　各地区详情　　香　港如房地产作出租用途，则该租金收入需要缴纳物业税。每一个课税年度按照土地或楼宇的应评税净值，以标准税率向在香港拥有土地或楼宇的业主征收，税率为15%。　　台　湾按我国台湾物业税的征收标准来看，144平方米以上的房源，每年收取的税费将有可能在房屋总和0.8%-1.5%/年。　　新加坡由新加坡国内税务局对所有房产征收，自住房产的物业税率是4%，其他类型的房产的物业税率是10%。　　日　本日本财产税主要是对房地产等不动产课征的不动产取得税、固定资产税、城市规划税、注册执照税等，同时还有遗产继承税与赠予税。固定资产税的标准税率为14%。　　韩　国韩国的财产税和综合土地税达到惊人的30%。而韩国在接下来的2年内，还有可能进一步调整房地产税率。财产税和土地税将会被整合为资本收益税，税率将增加为：第二套房产为50%，而第三套房产为60%。　　美　国不动产税，归在财产税项下，税基是房地产评估值的一定比例。目前美国的50个州都征收这项税收，各州和地方政府的不动产税率不同，大约平均1%到3%。　　德　国不动产税：根据评估价值的1%-1.5%征收。　　法　国不动产税：持有不动产者，每年按3%的公平市场价值(fairmarketvalue)纳税。公司将自己房产装修后出租，按税基的84%缴纳15%-30%营业税。税基包括：公司房产的出租价值，或16%的公司所付出租金。　　瑞　典不动产税，征收额度为不动产税务评估价值的0.5-1%。自2001年起，对于单栋独立家庭住房(相同于国内别墅的那种住房)，税率为1%，对共同产权型的公寓住宅，税率为0.5%。商业物产不动产税率为1%，工业物产税率为0.5%。　　意大利不动产税：按照税务评估价值的0.4%-0.7%。　　西班牙不动产税：按照税务评估价值征收(一般低于市场价值的50%)，税率在3%。　　举报|1441楼|打赏|回复|评论|赞
　　作者：星夜天狼　回复日期：2010-12-09　21:32:44　　　你欢呼加税，你自己将来就不改善居住环境了吗？你自己的儿女也不改善了吗？你以为将来住个人均30平就满足了吗？你们就是社会的寄生虫！！！！富人多缴税是肯定的。但是你和你的子女肯定都成不了富人了，因为你从来没想过要缴税！！！！　　————————————————————————　　你算说错了，我已经做好了交税的心理准备，将来肯定要买大房子的。　　举报|1443楼|打赏|回复|评论|赞
　　不知道官商勾结和几个炒房团比起来，哪个危害更大举报|1444楼|打赏|回复|评论|赞
　　看过举报|1445楼|打赏|回复|评论|赞
　　作者：落点评　回复日期：2010-12-09　21:25:09　　　　　　　作者：海岛论剑发表日期：2010-12-921:13:00　　　　　　　　作者：落点评　回复日期：2010-12-09　21:09:15　　　　　　　海岛论剑你个sb我问你呢，ZF卖地得了那么多钱不按规定去建保障房廉租房，原因在哪里？难道他们收了房产税就去建保障房了吗，你倒是回答啊，别装瞎子！！！　　　　　　————————————————————————————————　　　　　　以前是因为不明确，卖地收入主要投入到城建中去了。而现在是要求全国推广重庆模式，重庆模式的最大特点就是规模超大，直接覆盖1/3人群。中央决定明年建1000万套保障房，其中大部分是公租房。　　　　　　　　　　＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝　　　　你别在这胡说八道混淆视听了，你要是不知道虚心请教我可以告诉你，别胡说。ZF应按土地出让金一定比例建保障房廉租房，这项规定早就有。之所以不执行，那是因为各地都有GDP指标，而廉租房是不可以对外卖的，不产生GDP，还得ZF提供土地。而同样的土地如果建商品房，甚至经济适用房，在GDP收入上也比廉租房强得多得多！这就是各地ZF不按指标甚至根本不建廉租的根本原因所在！！　　　　　　　　而现在，这个根本原因解决了吗？没有！！！光中央出政策有什么用，能下决心不按指标建保障房的直接撤职吗？否则不全是空谈！！！　　＝＝＝＝＝＝＝＝＝＝＝＝＝＝　　这个根本性的原因没有解决，收再多的税对百姓来讲又有何用？香港大约三分之一的人包括许子东这样的大教授，都终生住在保障房里，商品房爱咋咋地根本不关心了。ZF拿出足够的钱建足够的保障房才是解决问题的正道，而不是只想着收税。　　举报|1446楼|打赏|回复|评论|赞
